ingredient_obo_uri	pt_obo_uri
 CHEBI_9648	HP_0003270
CHEBI_52717	HP_0003270
CHEBI_63638	HP_0003270
CHEBI_75283	MONDO_0001404
 CHEBI_45783	HP_0003270
CHEBI_6375	HP_0003270
CHEBI_71196	HP_0003270
CHEBI_135515	HP_0003270
 CHEBI_6909	HP_0003270
 CHEBI_47519	HP_0003270
CHEBI_51041	HP_0003270
CHEBI_55346	HP_0003270
CHEBI_64354	HP_0003270
CHEBI_9513	HP_0003270
CHEBI_145791	HP_0003270
PR_P01225	HP_0003270
CHEBI_8764	HP_0003270
CHEBI_64073	HP_0003270
CHEBI_5441	HP_0003270
PR_P60568	HP_0003270
 CHEBI_60802 	MONDO_0006584
CHEBI_68590	HP_0003270
 CHEBI_59594	HP_0003270
CHEBI_85978	HP_0003270
CHEBI_61058	HP_0003270
CHEBI_10033	HP_0003270
CHEBI_4873	HP_0003270
 CHEBI_23965 	HP_0003270
CHEBI_2549	MONDO_0043544
CHEBI_9613	HP_0003270
CHEBI_61049	HP_0003270
CHEBI_8389	HP_0003270
CHEBI_7735	HP_0003270
CHEBI_76018	HP_0003270
CHEBI_64356	HP_0003270
CHEBI_6715	MONDO_0006584
CHEBI_600520	HP_0003270
CHEBI_50692	MONDO_0006887
CHEBI_50275	HP_0003270
CHEBI_7872	MONDO_0006584
CHEBI_7444	HP_0003270
CHEBI_82701	HP_0002027
CHEBI_50131	HP_0003270
CHEBI_61049	HP_0002027
CHEBI_63618	HP_0003270
CHEBI_46195	HP_0002027
CHEBI_71193	HP_0003270
CHEBI_38157	HP_0002027
CHEBI_35705	HP_0002027
CHEBI_46295	HP_0002027
 CHEBI_17698	HP_0003270
CHEBI_33709	HP_0002027
CHEBI_50381	HP_0003270
CHEBI_75246	HP_0003270
CHEBI_37586 	HP_0003270
CHEBI_46557	HP_0003270
CHEBI_2682	HP_0003270
CHEBI_50922	HP_0003270
CHEBI_6715	HP_0003270
CHEBI_17196	HP_0003270
 CHEBI_8707	HP_0003270
CHEBI_134689	HP_0003270
CHEBI_32127	HP_0003270
CHEBI_7660	HP_0002027
CHEBI_49960	HP_0002027
CHEBI_63638	HP_0002027
 CHEBI_253342	HP_0002027
CHEBI_4876	HP_0002027
CHEBI_5128	HP_0002027
CHEBI_3766	HP_0002027
CHEBI_46557	HP_0002027
CHEBI_6797	HP_0002027
CHEBI_49662	HP_0002027
CHEBI_50845	HP_0002027
CHEBI_6887	HP_0002027
 CHEBI_4877	HP_0002027
CHEBI_567361	HP_0002027
CHEBI_6775	HP_0002027
CHEBI_9674	HP_0002027
CHEBI_90943	HP_0002027
CHEBI_38940	HP_0002027
CHEBI_70707	HP_0002027
CHEBI_39112	HP_0002027
CHEBI_32229	HP_0002027
CHEBI_71253	HP_0002027
 CHEBI_3216	HP_0002027
CHEBI_82978	HP_0002027
CHEBI_44241	HP_0002027
CHEBI_136007	HP_0002027
CHEBI_4027 	HP_0002027
CHEBI_53760	HP_0002027
CHEBI_4975	HP_0002027
CHEBI_31596	HP_0002027
CHEBI_5494 | CHEBI_94449	HP_0002027
CHEBI_16335	HP_0002027
CHEBI_70746	HP_0002027
CHEBI_4653	HP_0002027
 CHEBI_47381	HP_0002027
CHEBI_71196	HP_0002027
CHEBI_50248	HP_0002027
CHEBI_63584	HP_0002027
 CHEBI_75998	HP_0002027
CHEBI_17750	HP_0002027
CHEBI_9435	HP_0002027
CHEBI_44185 	HP_0002027
CHEBI_5558	HP_0002027
 CHEBI_47519	HP_0002027
 CHEBI_6801	HP_0002027
 CHEBI_8776	HP_0002027
 CHEBI_90933	HP_0002027
CHEBI_3745	HP_0002027
CHEBI_43602	HP_0002027
CHEBI_35610	HP_0002027
CHEBI_6443	HP_0002027
CHEBI_64310	HP_0002027
CHEBI_5134	HP_0002027
CHEBI_7931	HP_0002027
 CHEBI_23359	HP_0002027
CHEBI_52172	HP_0002027
CHEBI_10125	HP_0002027
CHEBI_8346	HP_0002027
CHEBI_65173	HP_0002027
CHEBI_499361	HP_0002027
CHEBI_64354	HP_0002027
 CHEBI_2788 	HP_0002027
CHEBI_90953	HP_0002027
CHEBI_39548	HP_0002027
CHEBI_27786	HP_0002027
 CHEBI_23965 	HP_0002027
CHEBI_32588	HP_0002027
CHEBI_135931	HP_0002027
 CHEBI_63611	HP_0002027
CHEBI_64746	HP_0002027
 CHEBI_127342	HP_0002027
CHEBI_5855	HP_0002027
CHEBI_28241	HP_0002027
CHEBI_3181	HP_0002027
CHEBI_8364	HP_0002027
CHEBI_81862	HP_0002027
CHEBI_5050	HP_0002027
CHEBI_50861	HP_0002027
CHEBI_7726	HP_0002027
CHEBI_3032	HP_0002027
CHEBI_77963 | CHEBI_3098	HP_0002027
CHEBI_4031	HP_0002027
 CHEBI_4530	HP_0002027
CHEBI_78432	HP_0002027
 CHEBI_36796	HP_0002027
CHEBI_4466	HP_0002027
CHEBI_3756	HP_0002027
CHEBI_63036	HP_0002027
CHEBI_6073	HP_0002027
 CHEBI_9648	HP_0002027
CHEBI_34945	HP_0002027
CHEBI_83766	HP_0002027
 CHEBI_6909	HP_0002027
 CHEBI_50924	HP_0002027
CHEBI_27777	HP_0002027
 CHEBI_5779	HP_0002027
CHEBI_6359	HP_0002027
CHEBI_32016	HP_0002027
CHEBI_135720	HP_0002027
CHEBI_17196	HP_0002027
CHEBI_48273	HP_0002027
CHEBI_7444	HP_0002027
CHEBI_10650	HP_0002027
CHEBI_84883	HP_0002027
CHEBI_6824	HP_0002027
CHEBI_8871	HP_0002027
 CHEBI_78604	HP_0002027
 CHEBI_6427	HP_0002027
CHEBI_230846	HP_0002027
CHEBI_94405	HP_0002027
CHEBI_71193	HP_0002027
CHEBI_135901	HP_0002027
CHEBI_133021	HP_0002027
CHEBI_51043	HP_0002027
CHEBI_135333	HP_0002027
CHEBI_135935	HP_0002027
CHEBI_135913	HP_0002027
CHEBI_119915	HP_0002027
CHEBI_31638	HP_0002027
CHEBI_7986	HP_0002027
CHEBI_8802	HP_0002027
CHEBI_75246	HP_0002027
CHEBI_37943	HP_0002027
CHEBI_76010	HP_0002027
CHEBI_135946	HP_0002027
 CHEBI_4856	HP_0002027
CHEBI_520985	HP_0002027
CHEBI_3213	HP_0002027
 CHEBI_8356	HP_0002027
CHEBI_6741	HP_0002027
CHEBI_29688	HP_0002027
CHEBI_36791	HP_0002027
CHEBI_8888	HP_0002027
CHEBI_72317	HP_0002027
CHEBI_31236	HP_0002027
CHEBI_84500	HP_0002027
 CHEBI_3814	HP_0002027
CHEBI_4909	HP_0002027
CHEBI_45267	HP_0002027
PR_P02768	HP_0002027
CHEBI_72297	HP_0002027
CHEBI_66876	HP_0002027
CHEBI_2611	HP_0002027
 CHEBI_8707	HP_0002027
 CHEBI_9948	HP_0002027
CHEBI_9316	HP_0002027
CHEBI_42944	HP_0002027
CHEBI_63621	HP_0002027
CHEBI_32020	HP_0002027
CHEBI_4356	HP_0002027
CHEBI_7465	HP_0002027
CHEBI_6472	HP_0002027
CHEBI_49662	HP_0003270
CHEBI_3207	HP_0003270
CHEBI_17252	HP_0003270
CHEBI_168396	HP_0003270
 CHEBI_4514	HP_0003270
CHEBI_3732	HP_0003270
CHEBI_7770	HP_0003270
 CHEBI_6532	HP_0003270
CHEBI_85990	HP_0003270
CHEBI_3215 	HP_0003270
 CHEBI_8356	HP_0003270
CHEBI_63628	HP_0003270
CHEBI_94686	HP_0003270
CHEBI_7986	HP_0003270
CHEBI_3752	HP_0003270
CHEBI_16684	HP_0003270
CHEBI_4657	HP_0003270
CHEBI_32229	HP_0003270
CHEBI_75283	HP_0003270
CHEBI_30621	HP_0003270
CHEBI_71019	HP_0003270
CHEBI_29688	HP_0003270
CHEBI_85662	HP_0003270
CHEBI_499361	HP_0003270
CHEBI_600103	HP_0003270
CHEBI_9943	HP_0003270
CHEBI_64045	HP_0003270
CHEBI_10023	HP_0003270
 CHEBI_3814	HP_0003270
CHEBI_119915	HP_0003270
CHEBI_17026	HP_0003270
CHEBI_32016	HP_0003270
CHEBI_72312	HP_0003270
CHEBI_17486	HP_0003270
CHEBI_7494	HP_0003270
CHEBI_28694	HP_0003270
CHEBI_6775	HP_0003270
CHEBI_367163	HP_0003270
CHEBI_63631	HP_0003270
CHEBI_63612	HP_0003270
CHEBI_61397	HP_0003270
 CHEBI_7476	HP_0003270
CHEBI_50114	HP_0003270
 CHEBI_6129	HP_0003270
CHEBI_52172	HP_0003270
CHEBI_5855	HP_0003270
CHEBI_5163	HP_0003270
CHEBI_83766	HP_0003270
CHEBI_65349	HP_0003270
 CHEBI_474180	HP_0003270
CHEBI_70707	HP_0003270
CHEBI_63608	HP_0003270
CHEBI_35610	HP_0003270
CHEBI_8888	HP_0003270
CHEBI_29073 | CHEBI_32588 | CHEBI_32139 | CHEBI_32599 | CHEBI_22652 | CHEBI_26710 | CHEBI_113451 | CHEBI_32149 | CHEBI_32036 | CHEBI_3125	HP_0003270
CHEBI_5002	HP_0003270
CHEBI_49375	HP_0003270
 CHEBI_2639	HP_0003270
CHEBI_50847	HP_0003270
CHEBI_72297	HP_0003270
CHEBI_3611 | CHEBI_8389 | CHEBI_27436 | CHEBI_6715	HP_0003270
CHEBI_5494 | CHEBI_94449	HP_0003270
CHEBI_7726	HP_0003270
CHEBI_8665	HP_0003270
CHEBI_34945	HP_0003270
CHEBI_5790	HP_0003270
CHEBI_4909	HP_0003270
PR_000001581	HP_0003270
CHEBI_31348	HP_0003270
CHEBI_28304	HP_0100310
CHEBI_60761	HP_0002027
 CHEBI_404903	HP_0002027
CHEBI_31524	HP_0002027
CHEBI_8869	HP_0002027
CHEBI_2948	HP_0002027
CHEBI_60269 | CHEBI_127780	HP_0002027
CHEBI_5864	HP_0000711
 CHEBI_9622	HP_0002027
CHEBI_50381	HP_0002027
CHEBI_82721	HP_0002027
CHEBI_75984	HP_0002027
CHEBI_50114	HP_0002027
CHEBI_10124	HP_0002027
CHEBI_31348	HP_0002027
CHEBI_28748	HP_0002027
CHEBI_46631	HP_0002027
 CHEBI_7476	HP_0002027
CHEBI_135574	HP_0002027
CHEBI_59343	HP_0002027
CHEBI_63618	HP_0002027
CHEBI_61397	HP_0002027
CHEBI_135876	HP_0002027
CHEBI_5523	HP_0002027
CHEBI_50378	HP_0002027
CHEBI_5141	HP_0002027
CHEBI_6846	HP_0002027
 CHEBI_5147	HP_0002027
CHEBI_6935	HP_0002027
CHEBI_7496	HP_0002027
CHEBI_2682	HP_0002027
 CHEBI_45081	HP_0002027
CHEBI_85662	HP_0002027
CHEBI_18332 | CHEBI_30660 | CHEBI_305790	HP_0002027
CHEBI_465284	HP_0002027
 CHEBI_28300	HP_0002027
CHEBI_79699	HP_0002027
CHEBI_28680	HP_0002027
CHEBI_7963 | CHEBI_18208 | CHEBI_51354	HP_0002027
CHEBI_32127	HP_0002027
CHEBI_8382	HP_0002027
CHEBI_7770	HP_0002027
CHEBI_85010	HP_0002027
CHEBI_16359	HP_0002027
