drug_obo_id	ind_obo_id
CHEBI_157175	MONDO_0001080
CHEBI_135829	MONDO_0001080
CHEBI_15407	MONDO_0005709
CHEBI_113451	MONDO_0009692
CHEBI_29073	MONDO_0009692
CHEBI_49900	MONDO_0009692
CHEBI_135829	MONDO_0004264
CHEBI_7726	MONDO_0019933
CHEBI_10127	HP_0030955
CHEBI_63638	HP_0030955
CHEBI_15552	MONDO_0005709
CHEBI_42355	MONDO_0001080
CHEBI_47898	MONDO_0004989|MONDO_0015870
CHEBI_16664	MONDO_0044346
CHEBI_42355	MONDO_0004264
CHEBI_4659	HP_0030955
CHEBI_7773	HP_0030955
CHEBI_16236	HP_0030955
CHEBI_2972	HP_0030955
CHEBI_51041	HP_0030955
CHEBI_50275	MONDO_0006896
CHEBI_77260	MONDO_0006896
CHEBI_8378	HP_0006516
CHEBI_28918	HP_0100845
CHEBI_168396	HP_0001915
CHEBI_28901	HP_0001915
CHEBI_4911	HP_0001915
CHEBI_7864	HP_0001915
CHEBI_4027	HP_0001915
CHEBI_28876	HP_0001915
CHEBI_28680	HP_0001915
CHEBI_61049	HP_0001915
CHEBI_681569	HP_0001915
CHEBI_16469	MONDO_0001932
CHEBI_4888	MONDO_0005754
CHEBI_4975	MONDO_0006896
CHEBI_31573	MONDO_0002050
CHEBI_68478	MONDO_0004989|MONDO_0015870
CHEBI_44185	HP_0001915
CHEBI_3423	HP_0001915
CHEBI_4031	HP_0001915
CHEBI_28304	HP_0001915
CHEBI_135072	HP_0001681
CHEBI_6920	HP_0001681
CHEBI_101278	HP_0001681
CHEBI_6904	HP_0001681
CHEBI_92623	HP_0001681
CHEBI_91704	HP_0001681
CHEBI_2904	HP_0001681
CHEBI_39548	HP_0001681
CHEBI_8499	HP_0001681
CHEBI_68478	MONDO_0004555
CHEBI_4975	MONDO_0019610
CHEBI_46081	MONDO_0044070
CHEBI_50885	MONDO_0015129
CHEBI_81292	HP_0001681
CHEBI_3061	HP_0001681
CHEBI_28787	HP_0001681
CHEBI_94789	HP_0001681
CHEBI_7565	HP_0001681
CHEBI_37941	HP_0001681
CHEBI_31905	HP_0001681
CHEBI_180905	HP_0001681
CHEBI_87690	HP_0001681
CHEBI_6061	HP_0001681
CHEBI_7444	HP_0001681
CHEBI_6062	HP_0001681
CHEBI_77733	HP_0001681
CHEBI_94461	HP_0001681
CHEBI_5002	MONDO_0001133
CHEBI_86990	MONDO_0002050
CHEBI_5109	MONDO_0002406
CHEBI_5108	MONDO_0002406
CHEBI_7731	MONDO_0005119
CHEBI_2668	HP_0001681
CHEBI_31625	MONDO_0004577
CHEBI_17650	HP_0100665
CHEBI_3077	HP_0100665
CHEBI_9725	HP_0100665
CHEBI_41879	HP_0100665
CHEBI_31677	HP_0100665
CHEBI_9667	HP_0100665
CHEBI_3897	HP_0100665
CHEBI_8459	HP_0100665
CHEBI_2611	HP_0000739
CHEBI_6931	HP_0000739
CHEBI_6758	HP_0000739
CHEBI_49575	HP_0000739
CHEBI_6121	HP_0000739
CHEBI_3611	HP_0000739
CHEBI_91704	HP_0000739
CHEBI_45951	HP_0000739
CHEBI_6539	HP_0000739
CHEBI_3619	HP_0000739
CHEBI_69478	HP_0000739
