"drug_name"	"drugbank_id"	"ind_name"	"ind_id"	"nct"	"status"	"phase"	"detailedstatus"	"drug_obo_id"	"drug_rxnorm_id"	"ind_obo_id"	"ind_meddra_pt"	"ind_snomed_id"
ephedrine	DB01364	Influenza-like symptoms	C0392171		Approved			CHEBI_15407	"3966"			
enoxacin	DB00467	Acute gonococcal cervicitis	C0153195		Approved			CHEBI_157175	"3925"	MONDO_0001080		"20943002"
alatrofloxacin	DB09335	Haemophilus influenzae pneumonia	C0276026		Approved			CHEBI_135829	"141440"			"70036007"
alatrofloxacin	DB09335	Acute gonococcal cervicitis	C0153195		Approved			CHEBI_135829	"141440"	MONDO_0001080		"20943002"
alatrofloxacin	DB09335	Bacterial infection due to Klebsiella pneumoniae	C0343402		Approved			CHEBI_135829	"141440"			"186435004"
ephedrine	DB01364	Headache Disorders	C0393735		Approved			CHEBI_15407	"3966"			"230461009"
ephedrine	DB01364	Common Cold	C0009443		Approved			CHEBI_15407	"3966"	MONDO_0005709		"82272006"
	DB14483	Primary Myelofibrosis	C0001815	NCT01014546	Terminated	Phase 1	low accrual		"1307765|142407"	MONDO_0009692	"10077161"	"128843003"
	DB14482	Primary Myelofibrosis	C0001815	NCT01014546	Terminated	Phase 1	low accrual	CHEBI_113451	"267366"	MONDO_0009692	"10077161"	"128843003"
	DB00126	Primary Myelofibrosis	C0001815	NCT01014546	Terminated	Phase 1	low accrual	CHEBI_29073	"1151|1370460"	MONDO_0009692	"10077161"	"128843003"
arsenic trioxide	DB01169	Primary Myelofibrosis	C0001815	NCT01014546	Terminated	Phase 1	low accrual	CHEBI_49900	"18330"	MONDO_0009692	"10077161"	"128843003"
enalapril	DB00584	Asymptomatic left ventricular systolic dysfunction	C3698411		Approved			CHEBI_4784	"3827"			"698592004"
enalapril	DB09477	Asymptomatic left ventricular systolic dysfunction	C3698411		Approved			CHEBI_4786	"1545989|3829"			"698592004"
enalaprilat	DB09477	Asymptomatic left ventricular systolic dysfunction	C3698411		Approved			CHEBI_4786	"1545989|3829"			"698592004"
alatrofloxacin	DB09335	Female genital tract infection	C1263758		Approved			CHEBI_135829	"141440"			"125585007"
alatrofloxacin	DB09335	Acute Moraxella catarrhalis bronchitis	C0339932		Approved			CHEBI_135829	"141440"			"195722003"
enoxacin	DB00467	Gonorrhea of pharynx	C0149966		Approved			CHEBI_157175	"3925"			"74372003"
alatrofloxacin	DB09335	Acute bacterial bronchitis	C0339933		Approved			CHEBI_135829	"141440"			"233598009"
alatrofloxacin	DB09335	Postoperative infection	C0392618		Approved			CHEBI_135829	"141440"			"33910007"
alatrofloxacin	DB09335	Acute gonococcal endometritis	C0153196		Approved			CHEBI_135829	"141440"	MONDO_0004264		"65295003"
enoxacin	DB00467	Acute gonococcal urethritis	C0275652		Approved			CHEBI_157175	"3925"			"29864006"
alatrofloxacin	DB09335	Acute gonococcal urethritis	C0275652		Approved			CHEBI_135829	"141440"			"29864006"
octreotide	DB00104	Acromegaly	C0001206		Approved			CHEBI_7726	"7617"	MONDO_0019933	"10000599"	"74107003"
	DB00909	Alcoholic Intoxication, Chronic	C0001973	NCT00862563	Terminated	Phase 2	Recruitment goals could not be met before ending of funding for this project.	CHEBI_10127	"39998"	HP:0030955	"10001639"	"7200002"
vigabatrin	DB01080	Alcoholic Intoxication, Chronic	C0001973	NCT01335867	Terminated	Phase 2	interim analysis of efficacy completed and termination recommended	CHEBI_63638	"14851"	HP:0030955	"10001639"	"7200002"
alatrofloxacin	DB09335	Acute bacterial sinusitis	C0275556		Approved			CHEBI_135829	"141440"			"75498004"
epinephrine	DB00668	Asthma attack	C0347950		Approved			CHEBI_28918	"3992"			
epoprostenol	DB01240	Common Cold	C0009443		Approved			CHEBI_15552	"8814"	MONDO_0005709		"82272006"
erdosteine	DB05057	Accidental poisoning by lead and its compounds and fumes	C0261486		Approved			CHEBI_135014	"24305"			
ertapenem	DB00303	Haemophilus influenzae pneumonia	C0276026		Approved			CHEBI_404903	"325642"			"70036007"
ertapenem	DB00303	Urinary tract infection caused by Escherichia coli	C0577708		Approved			CHEBI_404903	"325642"			"301011002"
erythromycin	DB00199	Infective otitis media	C0729586		Approved			CHEBI_42355	"4053"			"312218008"
erythromycin	DB00199	Staphylococcus aureus infection	C1318973		Approved			CHEBI_42355	"4053"			"406602003"
erythromycin	DB00199	Group A Streptococcal Infections	C0554628		Approved			CHEBI_42355	"4053"			"302809008"
erythromycin	DB00199	Acute gonococcal cervicitis	C0153195		Approved			CHEBI_42355	"4053"	MONDO_0001080		"20943002"
erythromycin	DB00199	Acne Vulgaris	C0001144		Approved			CHEBI_42355	"4053"			"88616000"
epirubicin	DB00445	Breast Carcinoma	C0678222		Approved			CHEBI_47898	"3995"	MONDO_0004989|MONDO_0015870		"254838004"
albendazole	DB00518	Echinococcus granulosus infection	C0152068		Approved			CHEBI_16664	"430"	MONDO_0044346		"75006000"
erythromycin	DB00199	non-gonococcal urethritis (NGU)	C1112709		Approved			CHEBI_42355	"4053"			"84619001"
ertapenem	DB00303	Female genital tract infection	C1263758		Approved			CHEBI_404903	"325642"			"125585007"
albendazole	DB00518	Echinococcus granulosus infection of liver	C0153289		Approved			CHEBI_16664	"430"			"20790006"
erythromycin	DB00199	Pneumococcal pharyngitis	C0275761		Approved			CHEBI_42355	"4053"			"76651006"
ertapenem	DB00303	Community acquired pneumonia	C0694549		Approved			CHEBI_404903	"325642"			"385093006"
ertapenem	DB00303	Miscarriage with sepsis	C0269398		Approved			CHEBI_404903	"325642"			"67465009"
erythromycin	DB00199	Acute gonococcal endometritis	C0153196		Approved			CHEBI_42355	"4053"	MONDO_0004264		"65295003"
ertapenem	DB00303	Urinary tract infection caused by Klebsiella	C4076057		Approved			CHEBI_404903	"325642"			"369001000119100"
erythromycin	DB00199	Acute gonococcal urethritis	C0275652		Approved			CHEBI_42355	"4053"			"29864006"
albendazole	DB00518	Echinococcus granulosus infection of lung	C0153290		Approved			CHEBI_16664	"430"			"75388006"
disulfiram	DB00822	Alcoholic Intoxication, Chronic	C0001973		Approved			CHEBI_4659	"3554"	HP:0030955	"10001639"	"7200002"
ondansetron	DB00904	Alcoholic Intoxication, Chronic	C0001973	NCT01591291	Withdrawn	Phase 2/Phase 3	Grant was transferred to University of Maryland and results were reported under NCT02354703.	CHEBI_7773	"26225"	HP:0030955	"10001639"	"7200002"
ethanol	DB00898	Alcoholic Intoxication, Chronic	C0001973	NCT01375556	Terminated	Phase 1		CHEBI_16236	"1310469|448|216449"	HP:0030955	"10001639"	"7200002"
baclofen	DB00181	Alcoholic Intoxication, Chronic	C0001973	NCT01937364	Terminated	Phase 2	The enrollment in the study was too limited for meaningful data analysis.	CHEBI_2972	"1292"	HP:0030955	"10001639"	"7200002"
acamprosate	DB00659	Alcoholic Intoxication, Chronic	C0001973		Approved			CHEBI_51041	"82819"	HP:0030955	"10001639"	"7200002"
salbutamol	DB01001	Asthma attack	C0347950		Approved			CHEBI_2549	"435"			
esomeprazole	DB00736	Peptic Esophagitis	C0014869		Approved			CHEBI_50275	"283742"	MONDO_0006896		
esomeprazole	DB00338	Peptic Esophagitis	C0014869		Approved			CHEBI_77260	"7646"	MONDO_0006896		
estradiol	DB00783	Acne Vulgaris	C0001144		Approved			CHEBI_16469	"4083"			"88616000"
ethinylestradiol	DB00977	Acne Vulgaris	C0001144		Approved			CHEBI_4903	"4124"			"88616000"
estradiol	DB00783	Atrophic Vaginitis	C0221392		Approved			CHEBI_16469	"4083"			"52441000"
