"id"	"chemical_id"	"chemical_name"	"protein_id"	"protein_name"	"relation_name"	"relation_id"	"source"	"dikb_id"	"fda_id"	"drugcentral_id"	"reference"	"year"	"measurement_type"	"measurement_value"
2397	CHEBI_28901	busulfan	PR_P11509	CYP2A6	inhibits	RO_0002449	FDA		74		PL	2017		
2398	CHEBI_8426	probenecid	PR_Q9UNQ0	BCRP	molecularly_interacts_with	RO_0002436	FDA		869			2017		
359	CHEBI_7936	paroxetine	PR_P10635	cyp2d6	inhibits	RO_0002449	dikb	607			http://www.ncbi.nlm.nih.gov/pubmed/12173784	2017		
2399	CHEBI_119573	delavirdine	PR_P08684	CYP3A4	inhibits	RO_0002449	FDA		13		PL	2017		
438	CHEBI_135737	lacidipine	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			356	DRUG MATRIX	2017	IC50	5.0
439	CHEBI_4877	ethambutol	PR_P20815	Cytochrome P450 3A5	is_substrate_of	DIDEO_00000041	drug_central			664	WOMBAT-PK	2017	IC50	4.0
440	CHEBI_6715	medroxyprogesterone and estrogen	PR_P33261	Cytochrome P450 2C19	is_substrate_of	DIDEO_00000041	drug_central			366	DRUG MATRIX	2017	IC50	5.0
441	CHEBI_35553	perhexiline	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			955	DRUG MATRIX	2017	IC50	6.0
442	CHEBI_6402	leflunomide	PR_P05177	Cytochrome P450 1A2	molecularly_interacts_with	RO_0002436	drug_central			723	DRUG MATRIX	2017	IC50	6.0
443	CHEBI_7465	naltrexone	PR_P10635	Cytochrome P450 2D6	molecularly_interacts_with	RO_0002436	drug_central			942	DRUG MATRIX	2017	IC50	6.0
444	CHEBI_6923	miconazole	PR_P33261	Cytochrome P450 2C19	molecularly_interacts_with	RO_0002436	drug_central			783	DRUG MATRIX	2017	IC50	7.0
445	CHEBI_64318	ergotamine, combinations excl. psycholeptics	PR_P08684	Cytochrome P450 3A4	molecularly_interacts_with	RO_0002436	drug_central			1032	DRUG MATRIX	2017	IC50	6.0
446	CHEBI_10100	zafirlukast	PR_P11712	Cytochrome P450 2C9	molecularly_interacts_with	RO_0002436	drug_central			883	DRUG MATRIX	2017	IC50	5.0
